Entity;Year;Change in female height (cm);Change in male height (cm);mean male height;mean female height;Change in male height(%);Change in female height (%);Calories from animal protein;Human Development Index (UNDP);Continent;Mortality
Tuvalu;1996;1.5185633;4.2843408;169.6401783;158.1003285;2.590982493;0.969821293;;;Oceania;4,1966
Uganda;1996;3.1235341;3.4466716;165.6249322;156.7187975;2.125236507;2.033613557;94;;Africa;16,290000000000003
Ukraine;1996;12.3864014;10.756056;178.457049;166.3392264;6.413829643;8.045582405;78.64;0.338;Europe;2,0300000000000002
United Arab Emirates;1996;9.0735683;11.1510719;170.4554301;158.6805869;6.99985363;6.064934911;108.68;0.661;Asia;1,2027
United Kingdom;1996;11.0195473;10.6179026;177.4901885;164.4020547;6.362891563;7.184357256;99.88;0.771;Europe;0,7000000000000001
United States;1996;5.023217;6.0511236;177.1303957;163.5381372;3.537029078;3.168923779;;0.844;North America;0,9199999999999999
Uruguay;1996;12.5205734;9.6229388;173.432458;162.1282089;5.874468619;8.3689401;35.12;0.879;South America;1,1999
Uzbekistan;1996;6.9405088;8.2990198;169.3845113;157.8159752;5.15193499;4.600157312;144.84;0.717;Asia;6,940000000000001
Vanuatu;1996;5.4553479;4.5057353;168.0931899;158.1717491;2.754328143;3.572208261;235.84;;Oceania;2,1992
Venezuela;1996;12.6998623;11.6324095;171.5942721;157.435303;7.27198928;8.774535275;216.48;;South America;2,5500000000000003
Vietnam;1996;8.8128523;9.1477168;164.4455519;153.5935076;5.890434206;6.087037168;283.2;0.66;Asia;3,6700000000000004
World;1996;8.344391691;8.797910708;171.2803524;159.4916899;5.41468396;5.520701848;219.52;0.54;;8,459999999999999
Yemen;1996;8.8687897;5.3825676;159.8869411;153.9703771;3.483763908;6.112124518;102.6;;Asia;10,1993
Zambia;1996;4.2885218;4.3092163;166.5171435;155.8213586;2.656600312;2.830094051;107.28;0.422;Africa;16,91
Zimbabwe;1996;2.9136566;3.8090071;168.5860045;158.2151861;2.311613368;1.876128722;114.76;0.416;Africa;9,620000000000001
